State,Creditor Name,Bureau 
CA ,US BANK,TransUnion
CA ,CITICARDS CBNA,Experian
CA ,US BANK,TransUnion
CA ,DIGITAL FEDERAL CRED,Equifax
CA ,AMER AGCRDT,TransUnion
CA ,LIGHTSTRM,TransUnion
CA ,PUGET SOUND COOPERAT,Equifax
CA ,ELAN FINANCIAL SERVICE,Experian
CA ,JPMCB CARD,Experian
CA ,SYNCB,TransUnion
CA ,JPMCB CARD,Experian
CA ,COMENITY BANK/EXPRES,Equifax
CA ,PREMIERONE CU,Experian
CA ,SYNCB/TJX CO,Experian
CA ,SYNCB/TJX DC,TransUnion
CA ,"CITIBANK NA., BEST B ALLY FINANCIAL CAPITAL ONE 700/CAPITOL EXPRESSWAY ALLY FINANCIAL FORD CRED WFDS",Equifax
CA ,CAPITAL ONE AUTO FIN,Equifax
CA ,BK OF AMER,Equifax
CA ,COAF,Experian
CA ,COMENITY BANK/EXPRES,Experian
CA ,FUNDATION/ BANK OF THE WF CRD SVC,Experian
CA ,COMENITY BANK/ EXPRES,Experian
CA ,BK OF AMER,Experian
CA ,CAPITAL ONE,Experian
CA ,700/CAPITOL GMC BUICK,TransUnion
CA ,CAPITAL ONE AUTO FIN,Equifax
CA ,COAF,Experian
CA ,TD AUTO FIN JPMCB AUTO,Experian
CA ,BK OF AMER,Equifax
CA ,Banks and S&Ls,TransUnion
CA ,Auto Financing,Equifax
CA ,"Automobile Dealers, Used",Experian
CA ,Auto Financing Companies,Experian
CA ,"Finance, personal",TransUnion
CA ,ONEMAIN,Experian
CA ,ONEMAIN,Experian
CA ,ONEMAIN,TransUnion
CA ,"Finance, personal",TransUnion
CA ,Banks and S&Ls,TransUnion
CA ,All Banks - non specific,Experian
CA ,Bank Credit Cards,Experian
CA ,Banks and S&Ls,Experian
CA ,Credit Unions,Equifax
CA ,Finance other than personal,TransUnion
CA ,Credit Unions,Equifax
CA ,Credit Unions,Experian
CA ,Banks and S&Ls,TransUnion
CA ,Credit Unions,Equifax
CA ,Credit Unions,Experian
CA ,Credit Unions,Experian
CA ,Credit Unions,Experian
CA ,Credit Unions,Experian
CA ,Credit Unions,Experian
CA ,"Finance, personal",TransUnion
CA ,Automotive,TransUnion
CA ,"Finance, personal",TransUnion
CA ,Credit Unions,Experian
CA ,"Automobile Dealers, New",Experian
CA ,Banks and S&Ls,TransUnion
CA ,Credit Unions,Experian
CA ,All Banks - non specific,Experian
CA ,Credit Unions,Experian
CA ,Automotive,TransUnion
CA ,"Automobile Dealers, New",Equifax
CA ,"Automobile Dealers, Used",Experian
CA ,Finance Companies - non specific,Experian
CA ,Banks and S&Ls,TransUnion
CA ,All Banks,Equifax
CA ,Bank Credit Cards,Experian
CA ,Finance Companies - non specific,Experian
CA ,Bank Credit Cards,Experian
CA ,Bank Credit Cards,Experian
CA ,"Retail, Not Elsewhere Classified",Experian
CA ,Credit Unions,Equifax
CA ,Bank Credit Cards,Experian
CA ,All Banks,Equifax
CA ,Banks and S&Ls,TransUnion
CA ,Bank Credit Cards,Experian
CA ,Mortgage Companies,Experian
CA ,Miscellaneous Reptg. Agencies,Equifax
CA ,Finance other than personal,TransUnion
CA ,Bank Credit Cards,Experian
CA ,Bank Credit Cards,Experian
CA ,Bank Credit Cards,Experian
CA ,All Banks,Equifax
CA ,Bank Credit Cards,Experian
CA ,Automotive,TransUnion
CA ,"Automobile Dealers, New",Equifax
CA ,Auto Financing Companies,Experian
CA ,"Automobile Dealers, Used",Experian
CA ,Tenant Screeners (Resellert,Experian
CA ,Banks and Sals,TransUnion
CA ,All Banks,Equifax
CA ,Bank Credit Cards,Experian
CA ,Bank Credit Cards,Experian
CA ,Bank Credit Cards,Experian
CA ,"Finance, personal",TransUnion
CA ,Miscellancous Reptg. Agoncics,Equifax
CA ,Mortgage Reporters,Experian
CA ,Crodit Bureaus,Experian
CA ,Bank Credit Cards,Experian
CA ,"Finance, personal",TransUnion
CA ,Miscellancous Reptg. Agencies,Equifax
CA ,Mortgage Companies,Experian
CA ,Finance other than personal,TransUnion
CA ,Miscellancous Reptg. Agoncios,Equifax
CA ,Mortgage Reporters,Experian
CA ,"Finance, personal",TransUnion
CA ,Miscellancous and public record,TransUnion
CA ,Miscellancous Reptg. Agencios,Equifax
CA ,Mortgage Reporters,Experian
CA ,Banks and S&Ls,TransUnion
CA ,Miscellancous Reptg. Agencies,Equifax
CA ,Mortgage Reporters,Experian
CA ,Miscellancous and public record,TransUnion
CA ,Miscellancous Reptg. Agencios,Equifax
CA ,Mortgage Reporters,Experian
CA ,Banks and S&Ls,TransUnion
CA ,Automotive,TransUnion
CA ,Banks and S&Ls,TransUnion
CA ,"Automobile Dealers, New",Equifax
CA ,Auto Financing,Equifax
CA ,"Automobile Dealers, Used",Experian
